"ProductCode","Name","TamilName","Category","Mrp","SellingPrice","PurchasePrice","Barcode","TaxSlabName","IsWeighable","HasExpiry","Uom"
"BA-10104","COVERING EARING 100","கவரிங் தோடு 100","","150.00","80.00","50.00","11456","GST 0%","FALSE","TRUE","Pcs"
"BA-10105","COVERING CHAIN 580","கவரிங் செயின் 580","","700.00","490.00","250.00","11457","GST 0%","FALSE","TRUE","Pcs"
"BA-10106","COVERING CHAIN 250","கவரிங் செயின் 250","","300.00","220.00","150.00","11458","GST 0%","FALSE","TRUE","Pcs"
"BA-10107","PACHA KARPURAM 25","பச்சை கர்புரம் 25கி","","60.00","55.00","32.00","11459","GST 0%","FALSE","TRUE","Pcs"
"BA-10108","COVERING BANGLES 480","COVERING BANGLES 480","","600.00","480.00","180.00","11460","GST 0%","FALSE","TRUE","Pcs"
"BA-10109","COVERING BANGES 390","COVERING BANGLES 390","","450.00","390.00","180.00","11461","GST 0%","FALSE","TRUE","Pcs"
"BA-1011","SURF XL 2RS","2ரூ.சர்புஎக்சல்","","24.00","22.00","20.00","2065","GST 0%","FALSE","TRUE","Pcs"
"BA-10110","COVERING BANGLES 190R","COVRING BANGLES 190","","250.00","190.00","80.00","11462","GST 0%","FALSE","TRUE","Pcs"
"BA-10111","COVERING BANGLES 100R","COVERING BANGLES 100","","140.00","100.00","58.00","11463","GST 0%","FALSE","TRUE","Pcs"
"BA-10112","COVERING BANGLES 210","COVERING BANGLES 210","","350.00","210.00","80.00","11464","GST 0%","FALSE","TRUE","Pcs"
"BA-10113","COVERING BANGLES 480R","COVRING BANGLES 480","","600.00","480.00","220.00","11465","GST 0%","FALSE","TRUE","Pcs"
"BA-10114","COVERING BANGLES 295","COVERING BANGLES 295","","350.00","295.00","140.00","11466","GST 0%","FALSE","TRUE","Pcs"
"BA-10115","COVERING BANGLES 250R","COVERING BANGLES 250","","300.00","250.00","100.00","11467","GST 0%","FALSE","TRUE","Pcs"
"BA-10116","COVERING BANGLES 195","கவரிங் வலையல் 195","","250.00","195.00","75.00","11468","GST 0%","FALSE","TRUE","Pcs"
"BA-10117","cOVERING BANGLES 345","COVERING BANGLES 345","","450.00","345.00","150.00","11469","GST 0%","FALSE","TRUE","Pcs"
"BA-10118","HIMA DR SHAMPOO 100","ஹிமா DR சாம்பூ","","85.00","83.00","73.07","11470","GST 0%","FALSE","TRUE","Pcs"
"BA-10119","HIMA BODY LOTION ALOE","ஹிமா பாடி லோசன்","","85.00","83.00","63.43","11471","GST 0%","FALSE","TRUE","Pcs"
"BA-1012","SURF XL LIQ 15","15சர்பு எக்சல் லிக்விட்","","15.00","14.00","0.00","2066","GST 0%","FALSE","TRUE","Pcs"
"BA-10120","NAWAB RICE 5KG","நவாப் அரிசி 5கி","","450.00","395.00","360.00","11473","GST 0%","TRUE","TRUE","Kgs"
"BA-10121","CERELAC HONEY DATES","செரிலாக் ஹனி","","314.00","304.00","288.07","11475","GST 0%","FALSE","TRUE","Pcs"
"BA-10122","harpic flushmatic","HARPIC FLUSHMATIC","","190.00","187.00","162.50","108326","GST 0%","FALSE","TRUE","Pcs"
"BA-10123","DETTOL HAND SANITIZER","DETTOL HAND SANITIZER","","129.00","127.00","117.33","11482","GST 0%","FALSE","TRUE","Pcs"
"BA-10124","anil noodles 400","அனில் நூடுல்ஸ் 400","","40.00","39.00","32.00","113161","GST 0%","FALSE","TRUE","Pcs"
"BA-10125","TIDE MATIC 1K","டைடு மேடிக் 1கி","","160.00","155.00","143.00","11485","GST 0%","FALSE","TRUE","Pcs"
"BA-10126","PANEER 1K","பன்னீர் 1கி","","525.00","510.00","0.00","11487","GST 0%","FALSE","TRUE","Pcs"
"BA-10127","GREEN PEAS FRESH 1K","GREEN PEAS 1K","","180.00","130.00","130.00","11488","GST 0%","FALSE","TRUE","Pcs"
"BA-10128","AACHI BIRIYANI 12","ஆச்சி பிரியானி 12","","12.00","11.00","9.00","11491","GST 0%","FALSE","TRUE","Pcs"
"BA-10129","AANDAL ATTA 5K","ஆன்டால் ஆட்டா 5கி","","190.00","160.00","150.00","11492","GST 0%","FALSE","TRUE","Pcs"
"BA-1013","SURF XL LIQ 15FL","15சர்பு எக்சல் லிக்விட்FL","","15.00","14.00","0.00","2067","GST 0%","FALSE","TRUE","Pcs"
"BA-10130","lUX 5","லக்ஸ் 5","","5.00","4.90","4.60","11493","GST 0%","FALSE","TRUE","Pcs"
"BA-10131","WATER 300ML","WATER 300ML","","7.00","7.00","4.40","11494","GST 0%","FALSE","TRUE","Pcs"
"BA-10132","PANTENE 4Rr","பென்டின் 4","","64.00","59.00","49.21","11495","GST 0%","FALSE","TRUE","Pcs"
"BA-10133","whipser long","விஸ்பர் லாங்","","34.00","32.00","30.00","11496","GST 0%","FALSE","TRUE","Pcs"
"BA-10134","pepsodent 100g","பெப்சுடன்ட் 100","","52.00","50.00","45.50","100063","GST 0%","FALSE","TRUE","Pcs"
"BA-10135","KSS RICE 10K","KSS அரிசி 10கி","","500.00","420.00","380.00","11498","GST 0%","FALSE","TRUE","Pcs"
"BA-10136","LION RICE 25K","லயன் அரிசி 25கி","","950.00","890.00","850.00","11499","GST 0%","FALSE","TRUE","Pcs"
"BA-10137","TRESEMME CP 185ML","TRESEMME CON 229","","229.00","225.00","208.25","11501","GST 0%","FALSE","TRUE","Pcs"
"BA-10138","TRESSME SS 85ML","TRESSME SS","","63.00","62.00","56.70","11502","GST 0%","FALSE","TRUE","Pcs"
"BA-10139","TRESSME SS 185","TRESSME 185","","190.00","186.00","166.00","11503","GST 0%","FALSE","TRUE","Pcs"
"BA-1014","RIN POWDER 10","10.ரின் பவுடர் ஆன்டி","","10.00","9.50","8.58","2068","GST 0%","FALSE","TRUE","Pcs"
"BA-1014","RIN POWDER 10","10.ரின் பவுடர் ஆன்டி","","5.00","5.00","4.00","132263","GST 0%","FALSE","TRUE","Pcs"
"BA-10140","RAJA LOSTION","ராஜா லோசன்","","34.00","32.00","28.00","11504","GST 0%","FALSE","TRUE","Pcs"
"BA-10141","QUAKER OATS 1.200","QUAKER OATS 1.200","","280.00","220.00","150.00","11505","GST 0%","FALSE","TRUE","Pcs"
"BA-10142","DOVE MEN CARE","DOVE MEN CARE","","225.00","195.00","140.00","11506","GST 0%","FALSE","TRUE","Pcs"
"BA-10143","HARTY PARTY","HARTY PARTY","","166.00","135.00","100.00","11507","GST 0%","FALSE","TRUE","Pcs"
"BA-10144","OLIVE OIL TURKEY","OLIVE OIL RED","","180.00","95.00","65.00","11508","GST 0%","FALSE","TRUE","Pcs"
"BA-10145","DOVE TALCO","DOVE TALCO","","225.00","195.00","140.00","11509","GST 0%","FALSE","TRUE","Pcs"
"BA-10146","DOVE DRY SPARY","DOVE DRY","","225.00","195.00","140.00","11510","GST 0%","FALSE","TRUE","Pcs"
"BA-10147","RICHUU SUJI 500","RICHUU ரவா 500","","43.00","29.00","24.00","11512","GST 0%","FALSE","TRUE","Pcs"
"BA-10148","britta CROISSANT","பிரிட்டா கேக்","","20.00","19.50","18.05","113655","GST 0%","FALSE","TRUE","Pcs"
"BA-10149","BRITTA CAKE 15","பிரிட்டா கேக்","","15.00","14.50","13.51","11514","GST 0%","FALSE","TRUE","Pcs"
"BA-1015","DOVE ]SOAP 10RS","10/-டவ் சோப்","","10.00","9.00","0.00","2069","GST 0%","FALSE","TRUE","Pcs"
"BA-10150","PRINCY BOURBON","PRINCY BOURBON","","215.00","200.00","135.96","11515","GST 0%","FALSE","TRUE","Pcs"
"BA-10150","PRINCY BOURBON","PRINCY BOURBON","","185.00","175.00","134.50","107921","GST 0%","FALSE","TRUE","Pcs"
"BA-10150","PRINCY BOURBON","PRINCY BOURBON","","255.00","245.00","161.24","111917","GST 0%","FALSE","TRUE","Pcs"
"BA-10150","PRINCY BOURBON","PRINCY BOURBON","","230.00","220.00","160.00","126329","GST 0%","FALSE","TRUE","Pcs"
"BA-10151","PRINCY BANANA 250","PRINCY 250","","140.00","132.00","98.00","11516","GST 0%","FALSE","TRUE","Pcs"
"BA-10151","PRINCY BANANA 250","PRINCY 250","","170.00","160.00","113.26","111908","GST 0%","FALSE","TRUE","Pcs"
"BA-10152","PRINCY NIPPLE 35","PRINCY NIPPLE 35","","30.00","29.00","17.50","11517","GST 0%","FALSE","TRUE","Pcs"
"BA-10152","PRINCY NIPPLE 35","PRINCY NIPPLE 35","","40.00","35.00","18.17","121741","GST 0%","FALSE","TRUE","Pcs"
"BA-10153","PRINCY BABY WASHCLOTHS","PRINCY BABY WASHCLOTHS","","66.00","60.00","41.73","11518","GST 0%","FALSE","TRUE","Pcs"
"BA-10154","PRINCY MEDIUM NIPPLE","PRINCY NIPPLE 35","","40.00","35.00","18.17","11519","GST 0%","FALSE","TRUE","Pcs"
"BA-10155","PRINCY NIPPLE 40RR","PRINCY NIPPLE","","35.00","33.00","25.99","11520","GST 0%","FALSE","TRUE","Pcs"
"BA-10155","PRINCY NIPPLE 40RR","PRINCY NIPPLE","","40.00","35.00","18.17","111914","GST 0%","FALSE","TRUE","Pcs"
"BA-10156","PRINCY SOOTHER","PRINCY SOOTHER","","40.00","36.00","25.30","11521","GST 0%","FALSE","TRUE","Pcs"
"BA-10157","PRINCY CLASS 200","PRINCY CLASS 200","","95.00","90.00","70.00","11522","GST 0%","FALSE","TRUE","Pcs"
"BA-10158","PRINCY CLASS 100","PRINCY CLASS 100","","80.00","77.00","60.00","11523","GST 0%","FALSE","TRUE","Pcs"
"BA-10159","VVD VEDA 500ML","VVD வேதா 500","","120.00","94.00","72.00","107930","GST 0%","FALSE","TRUE","Pcs"
"BA-1016","LUX SOFT 100 SET","100-லக்ஸ் `சாப்ட்","","74.00","71.00","67.00","2070","GST 0%","FALSE","TRUE","Pcs"
"BA-10161","BLACK ELLU 1K","க.எள்ளு 1கி","","310.00","290.00","242.00","11526","GST 0%","FALSE","TRUE","Pcs"
"BA-10162","MOCHAI BLACK 1K","கருப்பு மொச்சை 1கி","","140.00","96.00","78.00","11527","GST 0%","FALSE","TRUE","Pcs"
